day,hour,OVTotalSouth,HVTotalSouth,TotalSouth,OVTotalNorth,HVTotalNorth,TotalNorth
0,00:00,56,83,139,89,84,173
0,01:00,38,69,107,59,77,136
0,02:00,47,64,111,54,106,160
0,03:00,85,58,143,45,154,199
0,04:00,168,99,267,85,186,271
0,05:00,306,170,476,242,232,474
0,06:00,696,258,954,514,359,873
0,07:00,830,247,1077,656,430,1086
0,08:00,677,226,903,801,406,1207
0,09:00,725,297,1022,710,377,1087
0,10:00,846,336,1182,794,336,1130
0,11:00,926,335,1261,784,288,1072
0,12:00,823,387,1210,812,319,1131
0,13:00,730,364,1094,836,318,1154
0,14:00,729,405,1134,845,289,1134
0,15:00,670,354,1024,889,311,1200
0,16:00,518,316,834,869,286,1155
0,17:00,319,164,483,694,246,940
0,18:00,345,236,581,538,221,759
0,19:00,295,326,621,384,189,573
0,20:00,308,316,624,288,134,422
0,21:00,221,236,457,224,131,355
0,22:00,96,106,202,135,122,257
0,23:00,40,115,155,87,114,201
1,00:00,32,133,165,58,133,191
1,01:00,32,113,145,44,151,195
1,02:00,24,93,117,27,159,186
1,03:00,46,106,152,34,195,229
1,04:00,72,127,199,53,291,344
1,05:00,186,211,397,99,414,513
1,06:00,430,260,690,251,464,715
1,07:00,688,272,960,463,507,970
1,08:00,619,214,833,560,475,1035
1,09:00,601,277,878,554,308,862
1,10:00,655,389,1044,541,298,839
1,11:00,656,414,1070,556,290,846
1,12:00,653,400,1053,531,258,789
1,13:00,713,389,1102,560,307,867
1,14:00,675,422,1097,684,307,991
1,15:00,673,383,1056,752,258,1010
1,16:00,679,391,1070,815,291,1106
1,17:00,539,315,854,755,280,1035
1,18:00,446,345,791,513,215,728
1,19:00,284,340,624,369,216,585
1,20:00,180,279,459,318,167,485
1,21:00,102,138,240,199,151,350
1,22:00,157,108,265,277,142,419
1,23:00,69,113,182,116,129,245
2,00:00,43,110,153,59,161,220
2,01:00,24,130,154,35,146,181
2,02:00,32,107,139,28,165,193
2,03:00,31,110,141,28,232,260
2,04:00,53,128,181,42,275,317
2,05:00,134,177,311,86,350,436
2,06:00,362,266,628,269,484,753
2,07:00,585,258,843,431,485,916
2,08:00,636,253,889,541,494,1035
2,09:00,574,358,932,473,383,856
2,10:00,677,355,1032,412,298,710
2,11:00,672,375,1047,548,270,818
2,12:00,704,404,1108,565,292,857
2,13:00,768,400,1168,569,314,883
2,14:00,719,447,1166,703,275,978
2,15:00,740,351,1091,728,295,1023
2,16:00,704,422,1126,839,317,1156
2,17:00,501,314,815,721,265,986
2,18:00,413,360,773,567,231,798
2,19:00,307,364,671,386,183,569
2,20:00,194,242,436,299,143,442
2,21:00,124,148,272,248,166,414
2,22:00,138,122,260,179,141,320
2,23:00,67,115,182,98,148,246
3,00:00,47,123,170,101,147,248
3,01:00,26,126,152,81,168,249
3,02:00,33,112,145,31,167,198
3,03:00,30,120,150,30,241,271
3,04:00,47,140,187,55,275,330
3,05:00,162,185,347,97,374,471
3,06:00,361,259,620,265,478,743
3,07:00,577,267,844,439,486,925
3,08:00,621,234,855,504,461,965
3,09:00,590,325,915,500,376,876
3,10:00,688,353,1041,486,373,859
3,11:00,738,381,1119,535,308,843
3,12:00,820,408,1228,593,301,894
3,13:00,824,420,1244,641,292,933
3,14:00,884,442,1326,781,307,1088
3,15:00,885,397,1282,845,278,1123
3,16:00,856,369,1225,962,298,1260
3,17:00,672,283,955,933,284,1217
3,18:00,525,364,889,810,253,1063
3,19:00,384,342,726,518,178,696
3,20:00,274,276,550,439,163,602
3,21:00,148,143,291,290,153,443
3,22:00,100,114,214,212,126,338
3,23:00,88,115,203,112,134,246
4,00:00,43,109,152,86,133,219
4,01:00,28,143,171,59,168,227
4,02:00,48,109,157,42,177,219
4,03:00,49,113,162,35,225,260
4,04:00,80,152,232,44,262,306
4,05:00,131,209,340,85,377,462
4,06:00,324,227,551,232,471,703
4,07:00,461,249,710,363,480,843
4,08:00,577,230,807,383,369,752
4,09:00,724,330,1054,410,300,710
4,10:00,990,370,1360,493,272,765
4,11:00,1202,421,1623,657,259,916
4,12:00,1241,397,1638,813,263,1076
4,13:00,1303,393,1696,1076,301,1377
4,14:00,1244,316,1560,1248,270,1518
4,15:00,1066,308,1374,1277,234,1511
4,16:00,1122,270,1392,1176,195,1371
4,17:00,1082,282,1364,1059,194,1253
4,18:00,762,304,1066,847,136,983
4,19:00,499,286,785,425,114,539
4,20:00,337,228,565,459,87,546
4,21:00,183,115,298,631,161,792
4,22:00,111,103,214,369,141,510
4,23:00,91,95,186,156,147,303
5,00:00,43,112,155,100,107,207
5,01:00,35,129,164,69,139,208
5,02:00,42,94,136,43,136,179
5,03:00,29,79,108,36,156,192
5,04:00,45,85,130,41,177,218
5,05:00,100,99,199,59,184,243
5,06:00,180,115,295,101,190,291
5,07:00,300,108,408,194,223,417
5,08:00,423,98,521,323,170,493
5,09:00,642,143,785,487,143,630
5,10:00,850,139,989,617,133,750
5,11:00,888,136,1024,699,121,820
5,12:00,864,144,1008,695,114,809
5,13:00,718,111,829,663,106,769
5,14:00,613,113,726,683,105,788
5,15:00,535,112,647,619,105,724
5,16:00,535,104,639,632,106,738
5,17:00,447,101,548,572,104,676
5,18:00,349,103,452,417,80,497
5,19:00,272,64,336,352,73,425
5,20:00,170,62,232,269,57,326
5,21:00,122,54,176,202,59,261
5,22:00,75,40,115,141,29,170
5,23:00,88,47,135,83,30,113
6,00:00,55,57,112,81,23,104
6,01:00,31,52,83,47,37,84
6,02:00,27,20,47,42,54,96
6,03:00,26,31,57,27,37,64
6,04:00,50,32,82,34,95,129
6,05:00,59,50,109,49,82,131
6,06:00,146,71,217,49,88,137
6,07:00,190,79,269,96,87,183
6,08:00,264,71,335,186,92,278
6,09:00,417,102,519,303,88,391
6,10:00,687,123,810,503,92,595
6,11:00,969,144,1113,623,95,718
6,12:00,1006,146,1152,712,110,822
6,13:00,1005,114,1119,809,132,941
6,14:00,1004,146,1150,940,128,1068
6,15:00,965,161,1126,1181,153,1334
6,16:00,984,143,1127,1225,183,1408
6,17:00,935,124,1059,1135,157,1292
6,18:00,733,122,855,955,194,1149
6,19:00,599,124,723,822,152,974
6,20:00,384,98,482,649,154,803
6,21:00,240,78,318,517,123,640
6,22:00,111,57,168,307,112,419
6,23:00,77,65,142,207,68,275
